,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,popularity_scores,genre
63,0.513,0.974,1,-1.113,0,0.508,0.0159,0.0,0.0712,0.503,195.767,audio_features,2KBYPTSTHjYYOPACrFTkPy,spotify:track:2KBYPTSTHjYYOPACrFTkPy,https://api.spotify.com/v1/tracks/2KBYPTSTHjYYOPACrFTkPy,https://api.spotify.com/v1/audio-analysis/2KBYPTSTHjYYOPACrFTkPy,143552,4,Punk Tactics,70,
64,0.687,0.747,6,-4.542,1,0.195,0.0384,0.0,0.218,0.698,92.968,audio_features,6yLPqGlJbaGRfHnShJT6Ma,spotify:track:6yLPqGlJbaGRfHnShJT6Ma,https://api.spotify.com/v1/tracks/6yLPqGlJbaGRfHnShJT6Ma,https://api.spotify.com/v1/audio-analysis/6yLPqGlJbaGRfHnShJT6Ma,270000,4,24 Hour Party People,35,future funk
65,0.777,0.819,1,-5.567,1,0.0498,0.0838,0.0,0.646,0.965,104.025,audio_features,2v4KrO67w1AsUUABmSgCc2,spotify:track:2v4KrO67w1AsUUABmSgCc2,https://api.spotify.com/v1/tracks/2v4KrO67w1AsUUABmSgCc2,https://api.spotify.com/v1/audio-analysis/2v4KrO67w1AsUUABmSgCc2,191581,4,Poison Jam,34,future funk
66,0.758,0.641,1,-7.965,1,0.225,0.401,3.93e-05,0.0989,0.714,97.966,audio_features,373Gvk4FxOWOiNUh6sHtut,spotify:track:373Gvk4FxOWOiNUh6sHtut,https://api.spotify.com/v1/tracks/373Gvk4FxOWOiNUh6sHtut,https://api.spotify.com/v1/audio-analysis/373Gvk4FxOWOiNUh6sHtut,205714,4,Say Somethin',36,future funk
67,0.787,0.723,0,-7.379,0,0.0279,0.137,0.00909,0.0488,0.961,133.14,audio_features,5RUJ1B8Yrh7w4PT0W8KVPk,spotify:track:5RUJ1B8Yrh7w4PT0W8KVPk,https://api.spotify.com/v1/tracks/5RUJ1B8Yrh7w4PT0W8KVPk,https://api.spotify.com/v1/audio-analysis/5RUJ1B8Yrh7w4PT0W8KVPk,236761,4,Ba-Da-Ba,45,future funk
68,0.688,0.807,10,-6.982,0,0.0695,0.0227,0.0706,0.259,0.597,141.993,audio_features,3MpkdbpYuPRnYKvKECpSmM,spotify:track:3MpkdbpYuPRnYKvKECpSmM,https://api.spotify.com/v1/tracks/3MpkdbpYuPRnYKvKECpSmM,https://api.spotify.com/v1/audio-analysis/3MpkdbpYuPRnYKvKECpSmM,210000,4,I Shoulda Known!!,22,future funk
69,0.703,0.834,1,-5.134,1,0.0603,0.0139,0.0,0.1,0.863,153.97,audio_features,5EIkdrmuu2xkoQWOWjoeFY,spotify:track:5EIkdrmuu2xkoQWOWjoeFY,https://api.spotify.com/v1/tracks/5EIkdrmuu2xkoQWOWjoeFY,https://api.spotify.com/v1/audio-analysis/5EIkdrmuu2xkoQWOWjoeFY,178080,4,Dynasties & Dystopia (from the series Arcane League of Legends),65,dark trap
70,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,audio_features,1r9xUipOqoNwggBpENDsvJ,spotify:track:1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/tracks/1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/audio-analysis/1r9xUipOqoNwggBpENDsvJ,173381,4,Enemy (with JID) - from the series Arcane League of Legends,85,modern rock
71,0.769,0.706,9,-6.192,0,0.208,0.0923,0.000388,0.0431,0.753,118.774,audio_features,7Hlbekswx6XAgDZQeOfQCN,spotify:track:7Hlbekswx6XAgDZQeOfQCN,https://api.spotify.com/v1/tracks/7Hlbekswx6XAgDZQeOfQCN,https://api.spotify.com/v1/audio-analysis/7Hlbekswx6XAgDZQeOfQCN,140080,4,Elysion's Old Mans,31,rhythm game
72,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,audio_features,3khEEPRyBeOUabbmOPJzAG,spotify:track:3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/tracks/3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/audio-analysis/3khEEPRyBeOUabbmOPJzAG,193495,4,KICK BACK,88,anime
