,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title
81,0.572,0.89,6,-4.139,0,0.039,0.00082,0.00937,0.564,0.765,158.038,audio_features,11dxtPJKR4E0wlSr0A0t47,spotify:track:11dxtPJKR4E0wlSr0A0t47,https://api.spotify.com/v1/tracks/11dxtPJKR4E0wlSr0A0t47,https://api.spotify.com/v1/audio-analysis/11dxtPJKR4E0wlSr0A0t47,219773,4,Potential Breakup Song
82,0.577,0.906,8,-3.673,1,0.0583,0.0304,0.0,0.189,0.692,152.946,audio_features,12wSL3tGk3MtbDEhfG7xy3,spotify:track:12wSL3tGk3MtbDEhfG7xy3,https://api.spotify.com/v1/tracks/12wSL3tGk3MtbDEhfG7xy3,https://api.spotify.com/v1/audio-analysis/12wSL3tGk3MtbDEhfG7xy3,224187,4,You'll Always Find Your Way Back Home
83,0.674,0.87,3,-5.158,0,0.0912,0.428,5.08e-06,0.127,0.559,120.027,audio_features,1g1Jor1zrllXn2ogj8KGAH,spotify:track:1g1Jor1zrllXn2ogj8KGAH,https://api.spotify.com/v1/tracks/1g1Jor1zrllXn2ogj8KGAH,https://api.spotify.com/v1/audio-analysis/1g1Jor1zrllXn2ogj8KGAH,198360,4,"Strut - From ""The Cheetah Girls 2"""
84,0.751,0.845,1,-4.444,1,0.134,0.102,0.0,0.0497,0.927,103.995,audio_features,5Au8ObNQvrwFVEgGqQQL6D,spotify:track:5Au8ObNQvrwFVEgGqQQL6D,https://api.spotify.com/v1/tracks/5Au8ObNQvrwFVEgGqQQL6D,https://api.spotify.com/v1/audio-analysis/5Au8ObNQvrwFVEgGqQQL6D,189693,4,The Party's Just Begun
85,0.785,0.766,6,-4.147,1,0.0834,0.0604,2.18e-06,0.0331,0.888,112.025,audio_features,1AzUYCVWObAIKGP1caaGif,spotify:track:1AzUYCVWObAIKGP1caaGif,https://api.spotify.com/v1/tracks/1AzUYCVWObAIKGP1caaGif,https://api.spotify.com/v1/audio-analysis/1AzUYCVWObAIKGP1caaGif,188840,4,Step Up
86,0.803,0.901,1,-4.192,0,0.0625,0.323,0.0,0.142,0.837,104.002,audio_features,5qaxeIJLARExwa34d9TuYp,spotify:track:5qaxeIJLARExwa34d9TuYp,https://api.spotify.com/v1/tracks/5qaxeIJLARExwa34d9TuYp,https://api.spotify.com/v1/audio-analysis/5qaxeIJLARExwa34d9TuYp,179080,4,Sneakernight - Single Version
87,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,audio_features,3LmvfNUQtglbTrydsdIqFU,spotify:track:3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/tracks/3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/audio-analysis/3LmvfNUQtglbTrydsdIqFU,201400,4,We Belong Together
88,0.506,0.841,1,-4.644,1,0.174,0.225,0.0,0.771,0.533,203.931,audio_features,0SbSJQPv46BEdt8MdSPG4k,spotify:track:0SbSJQPv46BEdt8MdSPG4k,https://api.spotify.com/v1/tracks/0SbSJQPv46BEdt8MdSPG4k,https://api.spotify.com/v1/audio-analysis/0SbSJQPv46BEdt8MdSPG4k,211120,4,Cinderella - Live Concert Version
89,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,audio_features,4E6cwWJWZw2zWf7VFbH7wf,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/tracks/4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf,258827,4,Love Song
90,0.561,0.522,2,-5.857,1,0.0318,0.227,0.0,0.104,0.238,83.962,audio_features,0yLErGSgYHy1gbaLrjNhTa,spotify:track:0yLErGSgYHy1gbaLrjNhTa,https://api.spotify.com/v1/tracks/0yLErGSgYHy1gbaLrjNhTa,https://api.spotify.com/v1/audio-analysis/0yLErGSgYHy1gbaLrjNhTa,271813,4,Beneath Your Beautiful (feat. Emeli Sandé)
91,0.765,0.938,4,-2.718,1,0.0481,0.196,0.000687,0.485,0.965,138.312,audio_features,4DLH2fr8pWX1iksMrk47Kw,spotify:track:4DLH2fr8pWX1iksMrk47Kw,https://api.spotify.com/v1/tracks/4DLH2fr8pWX1iksMrk47Kw,https://api.spotify.com/v1/audio-analysis/4DLH2fr8pWX1iksMrk47Kw,156320,4,Big Pimpin' / Papercut
92,0.73,0.608,9,-6.417,0,0.295,0.301,0.0,0.207,0.753,84.555,audio_features,17larILaMHwsprsMFnYI77,spotify:track:17larILaMHwsprsMFnYI77,https://api.spotify.com/v1/tracks/17larILaMHwsprsMFnYI77,https://api.spotify.com/v1/audio-analysis/17larILaMHwsprsMFnYI77,249840,4,Big Poppa - 2005 Remaster
93,0.692,0.521,10,-8.465,0,0.33,0.301,0.0,0.0565,0.463,100.45,audio_features,62vpWI1CHwFy7tMIcSStl8,spotify:track:62vpWI1CHwFy7tMIcSStl8,https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8,https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8,292987,4,No Role Modelz
94,0.78,0.45,1,-9.539,1,0.0465,0.0826,0.0,0.0809,0.178,95.486,audio_features,38aECKrbMv2F5FsYYCewCQ,spotify:track:38aECKrbMv2F5FsYYCewCQ,https://api.spotify.com/v1/tracks/38aECKrbMv2F5FsYYCewCQ,https://api.spotify.com/v1/audio-analysis/38aECKrbMv2F5FsYYCewCQ,201600,4,No Mediocre (feat. Iggy Azalea)
