,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,popularity_scores,genre
49,0.657,0.6,7,-9.451,0,0.0529,0.613,1.87e-05,0.412,0.864,94.204,audio_features,4b6c7ugOlWaVBUmCElgImW,spotify:track:4b6c7ugOlWaVBUmCElgImW,https://api.spotify.com/v1/tracks/4b6c7ugOlWaVBUmCElgImW,https://api.spotify.com/v1/audio-analysis/4b6c7ugOlWaVBUmCElgImW,216627,4,Popurrí Navideño / Estrella De Oriente (De Tierras Lejanas) / Noche De Paz / La Virgen María / La Tierra Mía,40,salsa
0,0.836,0.788,0,-6.186,0,0.21,0.336,0.0,0.314,0.838,99.946,audio_features,2kVwj7Hyhz3fSCbsNI3zwY,spotify:track:2kVwj7Hyhz3fSCbsNI3zwY,https://api.spotify.com/v1/tracks/2kVwj7Hyhz3fSCbsNI3zwY,https://api.spotify.com/v1/audio-analysis/2kVwj7Hyhz3fSCbsNI3zwY,159783,4,Ask 'Em,0,asian american hip hop
1,0.675,0.577,7,-5.431,0,0.338,0.331,0.0,0.0857,0.568,193.777,audio_features,4OTkgeynnnEAEcXxIhQaa3,spotify:track:4OTkgeynnnEAEcXxIhQaa3,https://api.spotify.com/v1/tracks/4OTkgeynnnEAEcXxIhQaa3,https://api.spotify.com/v1/audio-analysis/4OTkgeynnnEAEcXxIhQaa3,222680,4,Thrusting (feat. Swae Lee & Future),37,rap
2,0.653,0.603,5,-5.697,0,0.171,0.175,0.0,0.18,0.551,151.016,audio_features,0mb3uDw5vfFUcZfJYFOMRu,spotify:track:0mb3uDw5vfFUcZfJYFOMRu,https://api.spotify.com/v1/tracks/0mb3uDw5vfFUcZfJYFOMRu,https://api.spotify.com/v1/audio-analysis/0mb3uDw5vfFUcZfJYFOMRu,168477,4,Gifted (feat. Roddy Ricch),54,dmv rap
3,0.737,0.482,1,-5.845,0,0.036,0.115,0.0,0.0873,0.26,97.469,audio_features,6ZxX2vmH5WLufcOqenLjfb,spotify:track:6ZxX2vmH5WLufcOqenLjfb,https://api.spotify.com/v1/tracks/6ZxX2vmH5WLufcOqenLjfb,https://api.spotify.com/v1/audio-analysis/6ZxX2vmH5WLufcOqenLjfb,221396,4,Trap House (feat. Shoreline Mafia),0,cali rap
4,0.88,0.58,5,-5.032,0,0.0438,0.016,3.83e-06,0.0936,0.754,124.003,audio_features,1AgSUWSzmza5jF6ER5R68v,spotify:track:1AgSUWSzmza5jF6ER5R68v,https://api.spotify.com/v1/tracks/1AgSUWSzmza5jF6ER5R68v,https://api.spotify.com/v1/audio-analysis/1AgSUWSzmza5jF6ER5R68v,128409,4,THRU THE NIGHT (feat. Bryson Tiller),68,deep underground hip hop
5,0.868,0.521,1,-7.837,0,0.426,0.378,0.0,0.374,0.407,117.146,audio_features,1pHyMdmKAp494PDSZhJHvR,spotify:track:1pHyMdmKAp494PDSZhJHvR,https://api.spotify.com/v1/tracks/1pHyMdmKAp494PDSZhJHvR,https://api.spotify.com/v1/audio-analysis/1pHyMdmKAp494PDSZhJHvR,199117,4,Way Back Home (feat. Ty Dolla $ign),49,dmv rap
6,0.825,0.458,0,-7.47,1,0.0577,0.114,0.0,0.102,0.161,145.115,audio_features,3nS9a01VvXHQriLqJYwRqG,spotify:track:3nS9a01VvXHQriLqJYwRqG,https://api.spotify.com/v1/tracks/3nS9a01VvXHQriLqJYwRqG,https://api.spotify.com/v1/audio-analysis/3nS9a01VvXHQriLqJYwRqG,197760,4,DOLLAZ ON MY HEAD (feat. Young Thug),72,atl hip hop
7,0.87,0.498,9,-8.339,0,0.0623,0.046,0.0,0.146,0.692,110.019,audio_features,1k5t0MC77UuwEp5FfZnKOd,spotify:track:1k5t0MC77UuwEp5FfZnKOd,https://api.spotify.com/v1/tracks/1k5t0MC77UuwEp5FfZnKOd,https://api.spotify.com/v1/audio-analysis/1k5t0MC77UuwEp5FfZnKOd,176532,4,Let Go,0,hip hop
8,0.784,0.416,7,-9.231,1,0.102,0.0546,2.16e-05,0.112,0.259,147.994,audio_features,5jlLBqK31dOqXECKn3jlMX,spotify:track:5jlLBqK31dOqXECKn3jlMX,https://api.spotify.com/v1/tracks/5jlLBqK31dOqXECKn3jlMX,https://api.spotify.com/v1/audio-analysis/5jlLBqK31dOqXECKn3jlMX,225037,4,Sextasy,52,melodic rap
9,0.663,0.777,9,-6.145,1,0.063,0.203,0.0,0.275,0.448,80.001,audio_features,32MaflItXKjXZSNBWikqUB,spotify:track:32MaflItXKjXZSNBWikqUB,https://api.spotify.com/v1/tracks/32MaflItXKjXZSNBWikqUB,https://api.spotify.com/v1/audio-analysis/32MaflItXKjXZSNBWikqUB,150901,4,Blast Off,34,asian american hip hop
