track_genre,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
pop-film,59.283,279657.084,0.001,0.597146,0.6045619,5.296,-7.871622,0.557,0.064057,0.44069561599999996,0.008123731810000001,0.166397,0.5292532999999999,117.257478,3.899
power-pop,26.898,185575.951,0.033,0.47341,0.801688,5.202,-6.675975,0.787,0.0579358,0.08551097744000001,0.06388665367,0.22324619999999998,0.6145689999999999,134.651615,3.966
progressive-house,46.615,206842.186,0.052,0.6239349999999999,0.813359,5.5,-5.421422,0.478,0.0676695,0.06138703639,0.20048227569,0.20933090000000001,0.36530009999999996,125.093636,3.981
psych-rock,42.778,226877.122,0.015,0.502554,0.5615028,5.39,-9.984745,0.656,0.0473149,0.31522801724,0.09181969096999999,0.20263050000000002,0.564732,121.572999,3.898
punk,38.291,216046.031,0.106,0.499778,0.809673,5.137,-5.727469,0.735,0.064181,0.08912129745,0.03888575537,0.2159331,0.5555907,133.60051800000002,3.947
punk-rock,38.236,216491.102,0.08,0.507329,0.80998,5.051,-5.916501,0.728,0.0635081,0.08259563892,0.03218837973,0.23666890000000002,0.5669669,132.219025,3.958
r-n-b,36.687,218600.096,0.088,0.614388,0.6381296706,5.743,-7.5394440000000005,0.722,0.0892185,0.3705621442,0.009955657029999999,0.2621831,0.6331639,124.038939,3.879
reggae,20.63,214684.051,0.167,0.745331,0.7257910000000001,5.643,-5.292395000000001,0.546,0.1154054,0.175950025,0.00280537597,0.18832959999999999,0.647529,119.867602,3.997
reggaeton,23.858,213185.496,0.212,0.758521,0.7387279999999999,5.561,-4.987124,0.511,0.1209521,0.16476341,0.0027859232,0.1703853,0.6427535,118.872403,3.993
rock,19.001,219674.515,0.043,0.543609,0.6790711,5.431,-6.664480999999999,0.721,0.0499229,0.20924166109999998,0.02097829694,0.1725127,0.5389026,126.321238,3.917
rock-n-roll,34.434,173693.36,0.002,0.5503020000000001,0.5266152,5.2,-9.381602999999998,0.83,0.0513818,0.5533451770000001,0.014221187790000001,0.22731200000000001,0.67049,120.390017,3.857
rockabilly,31.5,172438.656,0.005,0.561202,0.6593719,5.546,-8.202449,0.77,0.0595629,0.44698917326,0.0252293276,0.2289194,0.726951,123.660635,3.907
romance,3.245,200340.67,0.004,0.4321332,0.2943038,5.221,-13.205726,0.345,0.06481529999999999,0.8694951,0.05377302979,0.2107734,0.3934147,109.693052,3.694
sad,52.379,153800.88,0.45,0.692378,0.4624701,5.365,-10.275018,0.609,0.13043110000000002,0.473710126,0.10574007977,0.1716106,0.4220495,119.06495,3.97
salsa,28.066,276376.747,0.003,0.668288,0.724518,5.117,-6.922219,0.619,0.056160299999999996,0.46924546,0.01254381249,0.1823286,0.814838,119.91508900000001,3.988
samba,38.826,226502.395,0.002,0.5748970000000001,0.6726435000000001,5.219,-8.490191999999999,0.654,0.0836434,0.48990308,0.00735576425,0.44319240000000004,0.6934091,118.122361,3.969
sertanejo,47.866,204583.551,0.006,0.591647,0.710391,5.337,-5.4854449999999995,0.843,0.0648653,0.43662081999999997,0.00016029266,0.4742244,0.619325,127.052197,3.882
show-tunes,31.246,206622.883,0.018,0.4637381,0.39874176,5.003,-10.682708,0.775,0.108183,0.6371923265,0.03786859097,0.21560839999999998,0.3788129,114.372216,3.796
singer-songwriter,37.813,217549.844,0.047,0.562022,0.4341884,5.21,-9.779511000000001,0.846,0.0514857,0.552753542,0.02789156575,0.1501931,0.4142976,119.737322,3.835
ska,35.126,221617.895,0.024,0.5806760000000001,0.793134,5.363,-6.352839,0.695,0.0721267,0.12157530015000001,0.03011484573,0.2714103,0.69672,128.338341,3.965
sleep,35.071,184058.98,0.0,0.1679225,0.34207171670000003,4.93,-24.194084,0.707,0.056847,0.65725270108,0.72353913501,0.3577362,0.058187871,84.619491,3.132
songwriter,37.813,217549.844,0.047,0.562022,0.4341884,5.21,-9.779511000000001,0.846,0.0514857,0.552753542,0.027891565750000003,0.1501931,0.4142976,119.737322,3.835
soul,19.795,199718.003,0.104,0.600112,0.5338726,4.722,-8.284505999999999,0.689,0.0600308,0.4015648954,0.01363626904,0.1819059,0.5233104,114.62916899999999,3.88
spanish,37.922,231703.901,0.038,0.6043099999999999,0.707777,5.305,-6.486594,0.656,0.0873142,0.26875821868000005,0.01730288238,0.2236962,0.5484960999999999,122.832437,3.945
study,26.108,141568.534,0.0,0.68524,0.41065809999999997,5.425,-10.852780000000001,0.502,0.1000384,0.5306388080000001,0.7897574537000001,0.1612922,0.4027009,111.763835,3.944
swedish,37.175,209175.859,0.095,0.590413,0.6220025,5.532,-7.776523,0.721,0.0648112,0.32420006772,0.02216727505,0.1903963,0.5329407,121.094523,3.95
synth-pop,36.576,244805.907,0.044,0.620663,0.7131349,4.952,-8.204640999999999,0.612,0.0483371,0.15232235625,0.08232404800000001,0.18416916,0.5863771000000001,122.85003200000001,3.979
tango,19.871,182868.044,0.0,0.537862,0.372828,4.925,-10.062361000000001,0.48,0.0798359,0.846208935,0.13971501043,0.2303476,0.5835295,114.55432,3.814
techno,39.042,312311.477,0.026,0.684348,0.746413,5.515,-8.077874,0.556,0.0642115,0.08141377308,0.5400382181,0.1594341,0.3218783,128.255482,3.967
trance,37.635,269007.478,0.022,0.583409,0.845272,5.712,-6.3297110000000005,0.484,0.0797055,0.0358702953,0.42350094276,0.23435740000000002,0.27688080000000004,133.276726,3.957
trip-hop,34.46,274954.026,0.045,0.634695,0.6223630000000001,5.458,-9.239915000000002,0.483,0.0763031,0.22561481075,0.38376133848,0.1903421,0.4780688,118.74361599999999,3.945
turkish,40.698,219529.01,0.218,0.616077,0.6098036,5.46,-8.224722,0.331,0.1050867,0.3211246845,0.0356028508,0.1807503,0.4623137,120.367607,3.924
world-music,41.873,297195.622,0.0,0.414572,0.5329867402999999,5.333,-9.417547,0.869,0.041768,0.29954666447,0.09182382283,0.25039259999999997,0.25029526,121.393711,3.849
